Destino del reclamo,Quién lo resolvió,Tipo de reclamo,Fecha del reclamo,Estado del reclamo
INFRAESTRUCTURA,,Actualización de software,,  Cerrado  
soporte técnico,,  problema de acceso  ,,Pendiente
Recursos humanos,Administrador TI,  Solicitud de equipo  ,2024-01-03,resuelto
Infraestructura,  Juan Pérez  ,Problema de acceso,2024-01-04,EN PROCESO
S0p0rte técnic0,help desk,  Actualización de software  ,2024-01-05,RESUELTO
Soporte técnico,juan pérez,Solicitud de equipo,2024/01/06,
Infraestructura,Administrador TI,ERROR DE SISTEMA,2024-01-07,PENDIENTE
Recurs0s human0s,SOPORTE NIVEL 1,,2024-01-08,  RESUELTO  
Soporte técnico,Help Desk,Error de sistema,2024-01-09,Pendiente
,ADMINISTRADOR TI,Consulta general,2024-01-10,Pendiente
infraestructura,Administrador TI,Error de sistema,2024-01-11,  Resuelto  
Infraestructura,JUAN PÉREZ,,2024-01-12,  PENDIENTE  
SISTEMAS,JUAN PÉREZ,CONSULTA GENERAL,24-01-13,En proceso
SISTEMAS,HELP DESK,Solicitud de equipo,2024-01-14,Resuelto
FINANZAS,ADMINISTRADOR TI,SOLICITUD DE EQUIPO,2024-01-15,PENDIENTE
  Recursos humanos  ,Soporte Nivel 1,ERROR DE SISTEMA,2024/01/16,resuelto
Soporte técnico,Soporte Nivel 1,CONSULTA GENERAL,2024-01-17,Cerrado
Soporte técnico,MARÍA LÓPEZ,Actualización de software,2024-01-18,cerrado
Sistemas,Administrad0r TI,Actualización de software,2024-01-19,RESUELTO
infraestructura,juan pérez,consulta general,2024-01-20,PENDIENTE
  s0p0rte técnic0  ,MARÍA LÓPEZ,ERROR DE SISTEMA,2024/01/21,cerrado
RECURSOS HUMANOS,soporte nivel 1,problema de acceso,2024-01-22,  EN PROCESO  
infraestructura,,error de sistema,2024-01-23,
Sistemas,Soporte Nivel 1,Err0r de sistema,2024-01-24,En proceso
Recursos humanos,  S0p0rte Nivel 1  ,Error de sistema,2024-01-25,Pendiente
soporte técnico,maría lópez,ERROR DE SISTEMA,24-01-26,CERRADO
Sistemas,Help Desk,actualización de software,2024/01/27,  pendiente  
  INFRAESTRUCTURA  ,  Juan Pérez  ,  ACTUALIZACIÓN DE SOFTWARE  ,2024-01-28,RESUELTO
INFRAESTRUCTURA,  Administrad0r TI  ,actualización de software,2024-01-29,Pendiente
Infraestructura,Juan Pérez,Consulta general,2024-01-30,En proceso
RECURSOS HUMANOS,administrador ti,s0licitud de equip0,2024-01-31,RESUELTO
recursos humanos,SOPORTE NIVEL 1,Consulta general,2024-02-01,CERRADO
  soporte técnico  ,  Soporte Nivel 1  ,PROBLEMA DE ACCESO,2024-02-02,cerrado
FINANZAS,Help Desk,Error de sistema,2024-02-03,
Finanzas,María López,  Problema de acceso  ,2024-02-04,  RESUELTO  
  Finanzas  ,SOPORTE NIVEL 1,Consulta general,2024/02/05,RESUELTO
Soporte técnico,help desk,Error de sistema,2024-02-06,En proceso
  Finanzas  ,JUAN PÉREZ,consulta general,2024-02-07,Pendiente
sistemas,  Soporte Nivel 1  ,problema de acceso,2024-02-08,
  Sistemas  ,,  CONSULTA GENERAL  ,2024-02-09,
Sistemas,SOPORTE NIVEL 1,  CONSULTA GENERAL  ,2024-02-10,Cerrado
Sistemas,Soporte Nivel 1,error de sistema,2024-02-11,En proceso
SOPORTE TÉCNICO,Juan Pérez,ERROR DE SISTEMA,2024-02-12,  PENDIENTE  
SISTEMAS,  Juan Pérez  ,  ERROR DE SISTEMA  ,2024-02-13,  En proceso  
Recursos humanos,María López,Solicitud de equipo,2024/02/14,Cerrado
Finanzas,maría lópez,Solicitud de equipo,2024-02-15,pendiente
Infraestructura,  help desk  ,Error de sistema,,Pendiente
  SOPORTE TÉCNICO  ,  Soporte Nivel 1  ,problema de acceso,2024-02-17,  En proceso  
Recursos humanos,  administrador ti  ,ACTUALIZACIÓN DE SOFTWARE,2024/02/18,En proceso
RECURSOS HUMANOS,HELP DESK,Pr0blema de acces0,2024-02-19,resuelto
SOPORTE TÉCNICO,María López,Actualización de software,2024-02-20,  RESUELTO  
RECURSOS HUMANOS,MARÍA LÓPEZ,Actualización de software,2024-02-21,Cerrado
  RECURSOS HUMANOS  ,  maría lópez  ,Consulta general,2024-02-22,Cerrado
,Administrador TI,Solicitud de equipo,2024-02-23,  Cerrado  
infraestructura,Soporte Nivel 1,PROBLEMA DE ACCESO,2024/02/24,resuelto
SISTEMAS,  ADMINISTRADOR TI  ,Problema de acceso,2024-02-25,CERRADO
  Soporte técnico  ,juan pérez,Err0r de sistema,2024-02-26,CERRADO
SISTEMAS,,Error de sistema,2024-02-27,cerrado
Soporte técnico,maría lópez,,2024-02-28,  Pendiente  
finanzas,,error de sistema,2024-02-29,en pr0ces0
  finanzas  ,,C0nsulta general,2024/03/01,
Recursos humanos,Juan Pérez,problema de acceso,2024-03-02,  Cerrado  
Soporte técnico,S0p0rte Nivel 1,Consulta general,2024-03-03,Pendiente
SISTEMAS,  administrador ti  ,SOLICITUD DE EQUIPO,2024/03/04,  pendiente  
SOPORTE TÉCNICO,Help Desk,SOLICITUD DE EQUIPO,2024-03-05,Resuelto
  recursos humanos  ,  Help Desk  ,CONSULTA GENERAL,2024-03-06,Pendiente
Soporte técnico,Juan Pérez,  SOLICITUD DE EQUIPO  ,2024-03-07,Cerrad0
Infraestructura,  ADMINISTRADOR TI  ,actualización de software,2024/03/08,cerrado
  Finanzas  ,Help Desk,Consulta general,2024/03/09,Pendiente
soporte técnico,Soporte Nivel 1,ERROR DE SISTEMA,2024-03-10,CERRADO
soporte técnico,Administrador TI,  ERROR DE SISTEMA  ,2024-03-11,cerrado
Sistemas,JUAN PÉREZ,Solicitud de equipo,2024/03/12,Pendiente
Soporte técnico,Soporte Nivel 1,  Solicitud de equipo  ,2024-03-13,Cerrado
  Sistemas  ,Soporte Nivel 1,Problema de acceso,2024-03-14,RESUELTO
Sistemas,HELP DESK,SOLICITUD DE EQUIPO,2024-03-15,Pendiente
RECURSOS HUMANOS,Juan Pérez,  Error de sistema  ,2024-03-16,Cerrado
Finanzas,Juan Pérez,Consulta general,2024-03-17,En proceso
recursos humanos,MARÍA LÓPEZ,Actualización de software,2024-03-18,en proceso
INFRAESTRUCTURA,María López,  Error de sistema  ,2024/03/19,EN PROCESO
SOPORTE TÉCNICO,MARÍA LÓPEZ,,2024/03/20,RESUELTO
soporte técnico,Administrador TI,  consulta general  ,2024-03-21,En proceso
  Soporte técnico  ,  ADMINISTRADOR TI  ,  Actualización de software  ,24-03-22,  CERRADO  
Infraestructura,juan pérez,consulta general,24-03-23,cerrado
,JUAN PÉREZ,C0nsulta general,2024/03/24,  PENDIENTE  
SISTEMAS,MARÍA LÓPEZ,ACTUALIZACIÓN DE SOFTWARE,2024-03-25,PENDIENTE
Infraestructura,Help Desk,actualización de software,2024-03-26,pendiente
SOPORTE TÉCNICO,Administrador TI,  S0licitud de equip0  ,2024-03-27,Cerrado
Soporte técnico,JUAN PÉREZ,actualización de software,2024-03-28,  En proceso  
RECURSOS HUMANOS,ADMINISTRADOR TI,SOLICITUD DE EQUIPO,2024-03-29,pendiente
infraestructura,HELP DESK,SOLICITUD DE EQUIPO,2024-03-30,RESUELTO
INFRAESTRUCTURA,María López,ACTUALIZACIÓN DE SOFTWARE,2024/03/31,En proceso
SOPORTE TÉCNICO,Administrador TI,Problema de acceso,2024/04/01,Resuelto
Infraestructura,help desk,consulta general,24-04-02,en pr0ces0
Finanzas,  soporte nivel 1  ,  actualización de software  ,24-04-03,Pendiente
Soporte técnico,administrador ti,Actualización de software,2024-04-04,  EN PROCESO  
Infraestructura,Help Desk,ACTUALIZACIÓN DE SOFTWARE,2024-04-05,  cerrado  
  RECURSOS HUMANOS  ,Help Desk,  Actualización de software  ,2024-04-06,Cerrado
Infraestructura,Help Desk,problema de acceso,2024-04-07,RESUELTO
RECURSOS HUMANOS,HELP DESK,Error de sistema,2024/04/08,PENDIENTE
s0p0rte técnic0,administrad0r ti,PROBLEMA DE ACCESO,24-04-09,En proceso
Soporte técnico,JUAN PÉREZ,,2024-04-10,EN PROCESO
Soporte técnico,JUAN PÉREZ,problema de acceso,2024-04-11,resuelto
  soporte técnico  ,Administrador TI,Solicitud de equipo,2024/04/12,cerrado
  SOPORTE TÉCNICO  ,Soporte Nivel 1,CONSULTA GENERAL,2024-04-13,Resuelto
  Sistemas  ,ADMINISTRADOR TI,,2024-04-14,pendiente
S0p0rte técnic0,soporte nivel 1,Solicitud de equipo,2024-04-15,en proceso
  Recursos humanos  ,  SOPORTE NIVEL 1  ,Error de sistema,2024-04-16,EN PROCESO
  finanzas  ,Juan Pérez,  SOLICITUD DE EQUIPO  ,2024-04-17,En pr0ces0
Finanzas,help desk,Consulta general,2024-04-18,En proceso
SISTEMAS,  HELP DESK  ,Actualización de software,2024-04-19,Pendiente
SOPORTE TÉCNICO,Juan Pérez,  Actualización de software  ,2024-04-20,CERRADO
Infraestructura,,ERROR DE SISTEMA,2024/04/21,en proceso
Sistemas,soporte nivel 1,  Problema de acceso  ,2024-04-22,resuelto
,  ADMINISTRADOR TI  ,PROBLEMA DE ACCESO,2024-04-23,En proceso
SISTEMAS,administrador ti,  Solicitud de equipo  ,2024-04-24,PENDIENTE
Recurs0s human0s,  Help Desk  ,CONSULTA GENERAL,2024-04-25,cerrado
RECURSOS HUMANOS,  María López  ,Consulta general,,En pr0ces0
SOPORTE TÉCNICO,administrador ti,Actualización de s0ftware,2024-04-27,Cerrado
FINANZAS,JUAN PÉREZ,Problema de acceso,2024-04-28,cerrado
SISTEMAS,Juan Pérez,  err0r de sistema  ,2024/04/29,Cerrado
SISTEMAS,  Juan Pérez  ,ACTUALIZACIÓN DE SOFTWARE,2024/04/30,Cerrado
sistemas,maría lópez,Actualización de software,2024-05-01,En pr0ces0
  Sistemas  ,maría lópez,  SOLICITUD DE EQUIPO  ,2024-05-02,  EN PROCESO  
RECURSOS HUMANOS,  Help Desk  ,,2024-05-03,Pendiente
SOPORTE TÉCNICO,JUAN PÉREZ,error de sistema,2024/05/04,CERRADO
Soporte técnico,ADMINISTRADOR TI,Solicitud de equipo,2024-05-05,  Pendiente  
Sistemas,,Consulta general,2024-05-06,
RECURSOS HUMANOS,,Consulta general,2024-05-07,
Sistemas,juan pérez,  Solicitud de equipo  ,,Cerrado
sistemas,MARÍA LÓPEZ,ERROR DE SISTEMA,2024-05-09,pendiente
Sistemas,administrador ti,ERROR DE SISTEMA,2024-05-10,Cerrado
Sistemas,JUAN PÉREZ,error de sistema,24-05-11,  RESUELTO  
,  Soporte Nivel 1  ,Solicitud de equipo,2024-05-12,EN PROCESO
RECURSOS HUMANOS,  María López  ,Actualización de software,2024-05-13,Resuelto
  INFRAESTRUCTURA  ,Juan Pérez,  ACTUALIZACIÓN DE SOFTWARE  ,2024-05-14,EN PROCESO
Sistemas,  maría lópez  ,problema de acceso,2024/05/15,en proceso
Recursos humanos,  Soporte Nivel 1  ,ACTUALIZACIÓN DE SOFTWARE,2024-05-16,En proceso
sistemas,  Help Desk  ,Err0r de sistema,2024-05-17,Cerrado
,  soporte nivel 1  ,  consulta general  ,2024-05-18,Resuelto
RECURSOS HUMANOS,Juan Pérez,Actualización de software,2024/05/19,
  RECURSOS HUMANOS  ,Help Desk,Error de sistema,2024-05-20,EN PROCESO
finanzas,Juan Pérez,problema de acceso,24/05/21,Cerrado
  soporte técnico  ,help desk,ERROR DE SISTEMA,2024/05/22,Resuelto
  RECURSOS HUMANOS  ,Juan Pérez,PROBLEMA DE ACCESO,2024-05-23,En proceso
SOPORTE TÉCNICO,JUAN PÉREZ,Solicitud de equipo,2024-05-24,  PENDIENTE  
  Soporte técnico  ,  Help Desk  ,CONSULTA GENERAL,24-05-25,En proceso
s0p0rte técnic0,Help Desk,Error de sistema,2024-05-26,EN PROCESO
  Soporte técnico  ,Juan Pérez,  Consulta general  ,2024-05-27,En proceso
SISTEMAS,María López,  Solicitud de equipo  ,2024/05/28,EN PROCESO
Soporte técnico,administrador ti,problema de acceso,2024/05/29,PENDIENTE
SOPORTE TÉCNICO,help desk,Actualización de software,2024-05-30,CERRADO
Recursos humanos,  administrador ti  ,  PROBLEMA DE ACCESO  ,2024-05-31,PENDIENTE
  Finanzas  ,Help Desk,solicitud de equipo,2024-06-01,EN PROCESO
Sistemas,  Juan Pérez  ,Solicitud de equipo,2024/06/02,pendiente
Recursos humanos,María López,SOLICITUD DE EQUIPO,2024/06/03,EN PROCESO
,HELP DESK,SOLICITUD DE EQUIPO,2024-06-04,CERRADO
SISTEMAS,Soporte Nivel 1,solicitud de equipo,24-06-05,En proceso
